Nombre,Part,Titular,Min,JPar,Media,Disparos,TaP,DsR,% disparos,% conv,Gol,xG,xG- SP,xG- HR,GlEq
Alexander Sørloth,17 (1),17,1411,2,7.17,45,24,1,53%,22%,10,"4,93","4,93","5,07",25
Lorenzo Colombo,13,13,1045,0,6.63,26,10,0,38%,12%,3,"2,4","2,4","0,6",11
Kevin Volland,18 (5),18,1732,0,7.00,70,34,0,49%,13%,9,"9,41","9,41","-0,41",33
Odsonne Edouard,17 (3),17,1426,1,6.85,47,23,0,49%,13%,6,"5,13","5,13","0,87",22
Marcus Thuram,14 (1),14,920,1,7.18,20,10,0,50%,25%,5,"3,18","3,18","1,82",18
Chris Wood,13 (5),13,1013,1,6.54,44,17,0,39%,2%,1,"7,08","5,46","-6,08",3
Paulo Dybala,16,16,1264,1,6.91,28,10,0,36%,18%,5,"4,08","2,48","0,92",18
Lois Openda,14 (2),14,1185,1,6.82,38,19,0,50%,18%,7,"2,91","2,91","4,09",17
El Bilal Touré,12 (3),12,1061,1,6.79,36,13,1,36%,14%,5,"4,31","4,31","0,69",14
Sékou Mara,1 (6),1,155,0,6.70,10,4,0,40%,10%,1,"1,37","1,37","-0,37",2
Jean-Philippe Mateta,5 (12),5,554,0,6.86,29,13,0,45%,10%,3,"3,21","3,21","-0,21",9
Antoine Semenyo,0 (10),-0,179,0,6.77,6,2,0,33%,17%,1,"0,79","0,79","0,21",2
Rafa Mir,5 (9),5,563,1,7.00,29,17,0,59%,10%,3,"3,37","3,37","-0,37",7
Luka Jović,13 (4),13,1023,0,6.90,23,12,0,52%,22%,5,"1,7","1,7","3,3",18
Samuel Lino,14,14,1074,1,6.89,35,14,3,40%,11%,4,"3,59","3,59","0,41",18
Karl Toko Ekambi,22 (1),22,1851,2,7.17,43,16,0,37%,5%,2,"4,66","4,66","-2,66",30
Fer Niño,3 (4),3,346,0,7.38,26,13,0,50%,15%,4,"3,66","3,66","0,34",9
Donyell Malen,3 (4),3,347,0,6.70,16,10,0,63%,13%,2,"2,68","2,68","-0,68",6
Rodrigo,2 (10),2,425,0,6.79,12,5,0,42%,8%,1,"1,34","1,34","-0,34",7
Hugo Ekitike,0 (14),-0,310,0,6.78,10,4,0,40%,-0,0,"2,14","2,14","-2,14",6
Joaquín Correa,2 (9),2,282,0,6.90,16,12,0,75%,19%,3,"1,7","1,7","1,3",7
Pietro Pellegri,3 (9),3,261,0,6.65,8,6,0,75%,13%,1,"0,72","0,72","0,28",5
Vedat Muriqi,18,18,1437,0,6.80,44,25,2,57%,16%,7,"5,29","4,5","1,71",14
Sheraldo Becker,19 (1),19,1359,0,6.93,40,18,1,45%,18%,7,"5,02","5,02","1,98",15
Sergio Camello,15,15,1114,2,6.80,29,17,0,59%,31%,9,"6,05","4,45","2,95",19
Dion Drena Beljo,0 (10),-0,112,0,6.53,7,5,0,71%,14%,1,"0,72","0,72","0,28",1
Bamba Dieng,17,17,1226,0,6.71,36,17,0,47%,17%,6,"3,87","3,87","2,13",17
Gerard Deulofeu,14 (1),14,1078,1,6.91,27,13,0,48%,30%,8,"3,86","3,86","4,14",13
Sam Greenwood,0 (8),-0,118,0,6.78,7,7,0,100%,29%,2,"1,44","1,44","0,56",2
Martín Satriano,1 (11),1,407,0,6.66,17,8,0,47%,-0,0,"0,74","0,74","-0,74",3
Myron Boadu,4 (10),4,596,1,6.90,21,3,0,14%,10%,2,"2,15","2,15","-0,15",9
Takumi Minamino,12 (9),12,1078,1,6.96,22,11,0,50%,9%,2,"2,8","2,8","-0,8",21
Duván Zapata,12 (1),12,956,0,6.81,29,14,0,48%,17%,5,"2,49","2,49","2,51",11
Hugo Duro,0 (13),-0,201,0,6.80,3,1,0,33%,33%,1,"0,88","0,88","0,12",9
Jonas Wind,1 (4),1,144,0,6.78,7,3,0,43%,29%,2,"0,41","0,41","1,59",4
Alassane Pléa,11 (3),11,1014,1,6.86,42,20,0,48%,14%,6,"3,55","3,55","2,45",19
Boulaye Dia,15,15,1165,0,6.83,35,14,0,40%,3%,1,"4,35","4,35","-3,35",14
Jørgen Strand Larsen,1 (5),1,153,0,6.80,4,2,0,50%,25%,1,"1,33","1,33","-0,33",3
Luis Suárez,10 (5),10,841,1,6.74,21,12,0,57%,19%,4,"3,7","2,91","0,3",10
Pierre-Emerick Aubameyang,1 (6),1,173,1,7.05,3,1,0,33%,33%,1,"0,44","0,44","0,56",4
Agustín �?lvarez,0 (10),-0,242,0,6.81,12,7,0,58%,25%,3,"1,26","1,26","1,74",5
Beto,11 (2),11,894,0,6.76,32,16,0,50%,16%,5,"2,43","2,43","2,57",12
Lucas Boyé,15,15,1144,2,7.03,21,11,1,52%,19%,4,"3,31","3,31","0,69",17
Jordan Siebatcheu,0 (16),-0,386,0,6.76,27,13,0,48%,11%,3,"1,93","1,93","1,07",4
Carlos Vinícius,0 (14),-0,219,0,6.60,9,5,0,56%,-0,0,"0,99","0,99","-0,99",1
Enes Ünal,11,11,844,1,6.72,25,10,0,40%,8%,2,"2,44","2,44","-0,44",6
Dodi Lukébakio,15,15,990,0,6.71,23,8,0,35%,4%,1,"2,2","2,2","-1,2",15
Neal Maupay,18 (2),18,1575,0,6.65,51,18,0,35%,16%,8,"4,99","4,99","3,01",17
Timothy Weah,0 (9),-0,216,0,6.70,4,2,0,50%,-0,0,"1,31","1,31","-1,31",2
Lukas Nmecha,14 (2),14,1095,1,6.86,52,22,0,42%,10%,5,"6,5","5,71","-1,5",14
Bertrand Traoré,12 (3),12,859,1,6.81,30,14,1,47%,13%,4,"2,79","2,79","1,21",15
Luis Muriel,2 (5),2,239,0,6.83,9,3,0,33%,22%,2,"1,59","1,59","0,41",4
Christian Kouamé,3 (2),3,277,0,7.13,7,4,0,57%,14%,1,"0,46","0,46","0,54",5
Yoane Wissa,0 (11),-0,347,0,6.65,13,4,0,31%,-0,0,"2,47","2,47","-2,47",2
Alberth Elis,17,17,1433,1,6.79,38,26,0,68%,26%,10,"6,19","4,57","3,81",15
M'Bala Nzola,15,15,1317,2,6.83,32,19,0,59%,13%,4,"3,46","3,46","0,54",13
Andrea Belotti,3 (9),3,376,0,7.00,9,7,0,78%,56%,5,"2,58","1,79","2,42",9
Ermedin Demirovic,12,12,971,0,6.76,29,13,0,45%,14%,4,"3,02","3,02","0,98",12
Mohamed Bayo,3 (12),3,533,0,6.76,23,9,0,39%,13%,3,"2,59","2,59","0,41",6
Stephy Mavididi,11 (2),11,974,0,6.76,37,14,0,38%,11%,4,"3,67","3,67","0,33",13
Jonathan Burkardt,17,17,1257,0,6.81,42,17,0,40%,10%,4,"5,16","4,35","-1,16",18
Amin Sarr,2 (11),2,324,0,6.54,15,7,1,47%,7%,1,"1,94","1,94","-0,94",4
Marco Richter,3 (11),3,404,0,6.76,12,6,0,50%,8%,1,"1,63","1,63","-0,63",5
Arthur Cabral,7 (10),7,741,0,6.98,32,15,0,47%,19%,6,"4,25","4,25","1,75",18
Ezequiel �?vila,16 (1),16,1361,2,6.96,35,12,3,34%,29%,10,"6,43","3,27","3,57",18
Adam Ounas,13 (1),13,901,1,6.98,14,6,0,43%,7%,1,"1,75","1,75","-0,75",13
Kasper Dolberg,1 (8),1,189,0,6.60,6,2,0,33%,-0,0,"0,73","0,73","-0,73",2
Valentín Castellanos,11 (4),11,1050,1,6.77,32,16,0,50%,16%,5,"4,29","4,29","0,71",12
Alexis Tibidi,0 (7),-0,158,0,6.40,2,0,0,0%,-0,0,"0,14","0,14","-0,14",0
Michail Antonio,2 (12),2,340,0,6.77,1,1,0,100%,100%,1,"0,01","0,01","0,99",5
Ludovic Ajorque,0 (16),-0,344,0,6.83,25,13,0,52%,12%,3,"3,35","3,35","-0,35",5
Ellis Simms,1 (17),1,470,0,6.59,19,6,0,32%,5%,1,"4,74","4,74","-3,74",3
Adam Armstrong,17,17,1485,0,6.66,61,21,1,34%,8%,5,"7,44","7,44","-2,44",21
Demba Seck,0 (6),-0,177,0,6.22,4,2,0,50%,-0,0,"0,29","0,29","-0,29",0
Mërgim Berisha,0 (4),-0,152,0,6.67,7,0,0,0%,-0,0,"0,32","0,32","-0,32",0
Niclas Füllkrug,17,17,1109,1,6.91,43,26,0,60%,19%,8,"4,58","3,77","3,42",16
Ante Rebić,2 (16),2,583,0,6.71,14,4,0,29%,7%,1,"1,22","1,22","-0,22",5
Kieffer Moore,1 (9),1,249,0,6.72,11,5,0,45%,18%,2,"1,99","1,99","0,01",3
Borja Mayoral,9 (3),9,683,0,6.72,21,14,0,67%,19%,4,"3,06","3,06","0,94",8
Carlos Fernández,3 (4),3,255,1,6.86,7,3,0,43%,-0,0,"0,41","0,41","-0,41",2
Roberto Piccoli,0 (4),-0,136,0,6.53,3,1,0,33%,33%,1,"1,26","1,26","-0,26",1
Bobby Decordova-Reid,1 (16),1,480,0,6.71,14,5,0,36%,7%,1,"1,14","1,14","-0,14",3
Federico Bonazzoli,15,15,1223,1,7.06,19,7,0,37%,21%,4,"1,41","1,41","2,59",11
Krzysztof Piątek,14,14,1062,0,6.70,25,12,1,48%,16%,4,"2,86","2,86","1,14",12
Mostafa Mohamed,7 (10),7,857,0,6.72,23,11,0,48%,17%,4,"1,88","1,88","2,12",8
Deniz Undav,15 (4),15,1241,1,6.77,39,13,0,33%,13%,5,"5,67","5,67","-0,67",18
Musa Barrow,13 (2),13,1019,0,6.94,15,5,0,33%,13%,2,"3,31","3,31","-1,31",13
Bradley Barcola,2 (8),2,245,0,6.87,10,4,0,40%,20%,2,"0,88","0,88","1,12",6
Michaël Frey,12 (2),12,969,0,6.83,32,16,1,50%,25%,8,"4,09","4,09","3,91",12
Javi Puado,0 (17),-0,351,0,6.65,8,3,0,38%,13%,1,"1,46","1,46","-0,46",5
Erik Botheim,0 (9),-0,189,0,6.66,6,3,1,50%,17%,1,"0,89","0,89","0,11",3
Martin Braithwaite,14 (1),14,1119,0,6.63,27,8,1,30%,4%,1,"3,02","3,02","-2,02",11
Sam Surridge,0 (11),-0,207,0,6.72,6,3,0,50%,17%,1,"0,86","0,86","0,14",2
Tino Kadewere,1 (12),1,211,0,6.74,5,3,0,60%,-0,0,"0,97","0,97","-0,97",1
Munas Dabbur,0 (11),-0,163,0,6.30,12,3,0,25%,-0,0,"1,49","1,49","-1,49",1
Gonçalo Paciência,5 (3),5,412,1,6.80,10,4,0,40%,30%,3,"3,77","3,77","-0,77",5
Ezequiel Ponce,3 (12),3,460,0,6.72,7,1,1,14%,-0,0,"0,91","0,91","-0,91",11
Rubén Sobrino,0 (6),-0,118,0,6.60,1,0,1,0%,-0,0,"0,02","0,02","-0,02",2
Isaac Success,0 (12),-0,259,0,6.63,10,4,0,40%,10%,1,"0,68","0,68","0,32",2
Dani Gómez,11 (4),11,884,0,6.61,28,16,1,57%,11%,3,"4,61","4,61","-1,61",12
Steffen Tigges,5 (11),5,578,0,6.84,20,14,0,70%,25%,5,"3,65","3,65","1,35",11
Grejohn Kyei,16 (1),16,1395,0,6.81,47,23,0,49%,13%,6,"4,94","4,94","1,06",10
Saïd Hamulic,1 (4),1,130,0,6.70,4,2,0,50%,-0,0,"0,27","0,27","-0,27",2
Mounaïm El Idrissy,11,11,753,0,6.65,24,13,0,54%,13%,3,"3,24","3,24","-0,24",13
Alexis Sánchez,2 (16),2,497,0,6.77,30,17,0,57%,17%,5,"3,67","3,67","1,33",9
Raúl García,14 (2),14,1186,1,6.83,25,12,0,48%,20%,5,"4,96","4,96","0,04",11
Francesco Caputo,16,16,1462,0,6.64,28,17,0,61%,18%,5,"2,92","2,92","2,08",14
Divock Origi,0 (14),-0,216,0,6.69,9,5,0,56%,-0,0,"0,91","0,91","-0,91",2
Roger Martí,16,16,1146,2,6.69,28,10,1,36%,21%,6,"5,04","5,04","0,96",11
Andrés Martín,1 (5),1,174,0,6.44,2,0,0,0%,-0,0,"0,24","0,24","-0,24",0
Valerio Crespi,0 (6),-0,135,0,6.53,1,0,0,0%,-0,0,"0,12","0,12","-0,12",2
Ilyes Housni,0 (10),-0,158,0,6.57,8,4,0,50%,13%,1,"0,83","0,83","0,17",1
Davie Selke,16,16,1342,3,7.06,54,20,0,37%,15%,8,"7,14","6,33","0,86",17
Adolfo Gaich,1 (7),1,140,0,6.55,4,3,0,75%,25%,1,"0,28","0,28","0,72",2
Felix Afena-Gyan,0 (3),-0,114,0,6.33,4,2,0,50%,-0,0,"0,66","0,66","-0,66",0
Frank Tsadjout,4 (10),4,528,0,6.64,20,9,0,45%,15%,3,"3,07","3,07","-0,07",3
Jamie Vardy,0 (15),-0,237,0,6.69,9,4,0,44%,22%,2,"0,8","0,8","1,2",2
Ibrahima Koné,3 (10),3,474,0,6.72,17,4,0,24%,12%,2,"2,56","2,56","-0,56",5
Philipp Hofmann,16,16,1291,0,6.85,41,20,0,49%,20%,8,"3,8","3,8","4,2",21
Sebastian Polter,16,16,1315,2,7.03,35,12,0,34%,11%,4,"3,95","3,95","0,05",18
Thijs Dallinga,2 (11),2,388,0,6.54,12,7,0,58%,17%,2,"0,82","0,82","1,18",3
Mark Uth,1 (5),1,160,0,6.92,10,5,0,50%,10%,1,"0,89","0,89","0,11",1
David Okereke,14,14,946,0,6.49,16,7,0,44%,6%,1,"1,76","1,76","-0,76",6
Iké Ugbo,1 (10),1,206,0,6.47,7,1,0,14%,14%,1,"0,58","0,58","0,42",2
Andy Delort,23,23,1735,5,7.32,58,31,0,53%,22%,13,"7,82","7,01","5,18",21
Luca Waldschmidt,0 (6),-0,185,0,6.95,11,4,0,36%,-0,0,"1,31","1,31","-1,31",4
Renaud Ripart,16,16,1303,0,6.71,34,12,0,35%,15%,5,"5,79","5,79","-0,79",13
Federico Di Francesco,12 (1),12,807,0,6.62,7,3,0,43%,14%,1,"0,76","0,76","0,24",7
Sargis Adamyan,9 (12),9,906,0,6.95,37,16,0,43%,14%,5,"5,57","4,76","-0,57",15
Rafael Ratão,17,17,1378,0,6.65,42,15,0,36%,10%,4,"6,27","6,27","-2,27",13
Pere Milla,17 (1),17,1407,0,6.88,41,20,1,49%,10%,4,"6,97","6,97","-2,97",24
Marko Pjaca,14,14,947,1,6.76,21,13,0,62%,14%,3,"2,25","2,25","0,75",11
Rafael Santos Borré,1 (10),1,270,0,6.53,16,6,0,38%,6%,1,"2,4","2,4","-1,4",2
Diego Costa,1 (6),1,194,0,6.58,7,3,0,43%,-0,0,"0,57","0,57","-0,57",1
Noah Jean Holm,0 (12),-0,356,0,6.70,11,3,0,27%,18%,2,"1,57","1,57","0,43",4
Serhou Guirassy,2 (5),2,279,1,7.03,19,10,0,53%,5%,1,"2,03","2,03","-1,03",3
Jesé,2 (4),2,184,0,6.62,1,0,0,0%,-0,0,"0,02","0,02","-0,02",2
Karim Onisiwo,17,17,1474,0,6.88,62,27,0,44%,13%,8,"6,48","6,48","1,52",22
Andrea Petagna,15,15,1128,0,6.81,16,6,0,38%,19%,3,"1,48","1,48","1,52",8
Emmanuel Gyasi,14 (1),14,1113,0,6.64,25,11,0,44%,12%,3,"3,21","3,21","-0,21",12
Moussa Dembélé,13,13,1105,1,6.81,50,26,0,52%,8%,4,"6,36","6,36","-2,36",14
Mama Baldé,17,17,1385,0,6.69,37,19,2,51%,16%,6,"3,72","3,72","2,28",13
Beni Makouana,2 (12),2,219,0,6.48,9,5,0,56%,-0,0,"0,93","0,93","-0,93",4
Michael Gregoritsch,19 (1),19,1465,1,6.87,71,31,0,44%,8%,6,"10,57","9,76","-4,57",22
Thomas Henry,13 (1),13,1026,0,6.59,30,12,0,40%,3%,1,"4,21","4,21","-3,21",7
Lucas Alario,0 (14),-0,266,0,6.73,17,10,0,59%,6%,1,"1,49","1,49","-0,49",3
Eric Maxim Choupo-Moting,0 (8),-0,136,0,6.94,16,12,0,75%,13%,2,"1,63","1,63","0,37",5
Olivier Giroud,18 (1),18,1369,3,7.09,52,33,0,63%,23%,12,"5,25","5,25","6,75",23
Danny Welbeck,6 (3),6,512,0,6.57,14,6,0,43%,7%,1,"2,1","2,1","-1,1",3
Cyle Larin,3 (14),3,542,1,6.77,21,9,1,43%,10%,2,"3,33","3,33","-1,33",6
Eldor Shomurodov,1 (9),1,173,0,6.76,4,2,0,50%,-0,0,"0,49","0,49","-0,49",1
Adrien Hunou,16,16,1326,1,6.91,33,12,0,36%,18%,6,"2,39","2,39","3,61",16
Sardar Azmoun,11 (7),11,1126,0,6.68,34,13,0,38%,9%,3,"3,56","3,56","-0,56",12
Chris Ramos,0 (7),-0,120,0,6.65,2,1,0,50%,-0,0,"0,06","0,06","-0,06",0
Antonio Sanabria,13 (3),13,992,0,6.60,26,11,1,42%,12%,3,"4,8","4,8","-1,8",4
Mariano,0 (11),-0,160,1,7.06,15,6,0,40%,20%,3,"2,9","2,9","0,1",3
Léo Baptistão,5 (6),5,560,1,6.72,7,4,1,57%,29%,2,"1,21","1,21","0,79",6
Jaime Mata,6 (12),6,732,1,6.79,17,5,0,29%,18%,3,"1,85","1,85","1,15",9
Lars Stindl,7 (5),7,573,1,6.80,11,6,0,55%,27%,3,"1,28","1,28","1,72",13
Abdón Prats,2 (2),2,158,0,6.85,1,0,2,0%,-0,0,"0,04","0,04","-0,04",2
Marius Bülter,7 (6),7,665,0,6.75,22,5,1,23%,-0,0,"1,79","1,79","-1,79",10
Florian Sotoca,2 (9),2,365,0,6.52,19,8,0,42%,-0,0,"1,94","1,94","-1,94",1
Kike García,0 (6),-0,174,0,6.63,7,6,0,86%,14%,1,"0,3","0,3","0,7",3
Jérémy Le Douaron,0 (13),-0,184,0,6.68,8,3,0,38%,-0,0,"1,69","1,69","-1,69",0
Omar Marmoush,8 (8),8,777,1,6.99,20,12,0,60%,30%,6,"2,36","2,36","3,64",17
André Ayew,1 (2),1,131,0,6.53,6,2,0,33%,-0,0,"0,54","0,54","-0,54",1
Lassine Sinayoko,4 (8),4,536,0,7.01,15,8,0,53%,33%,5,"1,83","1,83","3,17",10
Eren Dinkci,0 (16),-0,413,0,6.61,14,6,0,43%,7%,1,"0,81","0,81","0,19",3
Amath N'Diaye,6 (10),6,527,0,6.80,18,8,0,44%,22%,4,"2,39","2,39","1,61",11
Diego Valencia,0 (5),-0,108,0,7.20,1,1,0,100%,100%,1,"0,07","0,07","0,93",2
Lebo Mothiba,3 (6),3,411,0,6.59,21,8,0,38%,10%,2,"2,18","2,18","-0,18",4
Habib Diallo,8 (5),8,795,0,6.66,36,9,0,25%,8%,3,"6,14","6,14","-3,14",9
Sven Michel,16 (2),16,1129,1,6.66,30,11,0,37%,7%,2,"3,36","3,36","-1,36",11
Stevan Jovetić,14,14,1039,1,7.02,26,14,0,54%,23%,6,"2,91","2,91","3,09",14
Assan Ceesay,1 (6),1,278,0,6.72,9,7,0,78%,22%,2,"1,36","1,36","0,64",4
Sergio León,17,17,1335,1,6.49,33,15,0,45%,15%,5,"5,34","4,53","-0,34",12
Cyriel Dessers,12 (2),12,968,0,6.42,21,9,0,43%,10%,2,"2,83","2,83","-0,83",8
M’Baye Niang,12 (3),12,964,0,6.67,24,13,0,54%,8%,2,"3,08","3,08","-1,08",13
Moussa Djitté,16,16,1310,0,6.64,42,16,0,38%,12%,5,"4,21","4,21","0,79",16
Dany Mota,0 (13),-0,248,0,6.51,12,3,0,25%,-0,0,"2,36","2,36","-2,36",0
Ibrahima Niane,17,17,1219,0,6.69,33,14,0,42%,12%,4,"3,83","3,83","0,17",17
Valère Germain,5 (11),5,671,0,6.66,18,7,0,39%,-0,0,"1,81","1,81","-1,81",8
